id,name,description
1,Category 1,Description 1
2,Category 2,Description 2
3,Category 3,Description 3
4,Category 4,Description 4
5,Category 5,Description 5
6,Category 6,Description 6
7,Category 7,Description 7
8,Category 8,Description 8
9,Category 9,Description 9
10,Category 10,Description 10
11,Category 11,Description 11
12,Category 12,Description 12
13,Category 13,Description 13
14,Category 14,Description 14
15,Category 15,Description 15
16,Category 16,Description 16
17,Category 17,Description 17
18,Category 18,Description 18
19,Category 19,Description 19
20,Category 20,Description 20
21,Category 21,Description 21
22,Category 22,Description 22
23,Category 23,Description 23
24,Category 24,Description 24
25,Category 25,Description 25
26,Category 26,Description 26
27,Category 27,Description 27
28,Category 28,Description 28
29,Category 29,Description 29
30,Category 30,Description 30
31,Category 31,Description 31
32,Category 32,Description 32
33,Category 33,Description 33
34,Category 34,Description 34
35,Category 35,Description 35
36,Category 36,Description 36
37,Category 37,Description 37
38,Category 38,Description 38
39,Category 39,Description 39
40,Category 40,Description 40
41,Category 41,Description 41
42,Category 42,Description 42
43,Category 43,Description 43
44,Category 44,Description 44
45,Category 45,Description 45
46,Category 46,Description 46
47,Category 47,Description 47
48,Category 48,Description 48
49,Category 49,Description 49
50,Category 50,Description 50
51,Category 51,Description 51
52,Category 52,Description 52
53,Category 53,Description 53
54,Category 54,Description 54
55,Category 55,Description 55
56,Category 56,Description 56
57,Category 57,Description 57
58,Category 58,Description 58
59,Category 59,Description 59
60,Category 60,Description 60
61,Category 61,Description 61
62,Category 62,Description 62
63,Category 63,Description 63
64,Category 64,Description 64
65,Category 65,Description 65
66,Category 66,Description 66
67,Category 67,Description 67
68,Category 68,Description 68
69,Category 69,Description 69
70,Category 70,Description 70
71,Category 71,Description 71
72,Category 72,Description 72
73,Category 73,Description 73
74,Category 74,Description 74
75,Category 75,Description 75
76,Category 76,Description 76
77,Category 77,Description 77
78,Category 78,Description 78
79,Category 79,Description 79
80,Category 80,Description 80
81,Category 81,Description 81
82,Category 82,Description 82
83,Category 83,Description 83
84,Category 84,Description 84
85,Category 85,Description 85
86,Category 86,Description 86
87,Category 87,Description 87
88,Category 88,Description 88
89,Category 89,Description 89
90,Category 90,Description 90
91,Category 91,Description 91
92,Category 92,Description 92
93,Category 93,Description 93
94,Category 94,Description 94
95,Category 95,Description 95
96,Category 96,Description 96
97,Category 97,Description 97
98,Category 98,Description 98
99,Category 99,Description 99
100,Category 100,Description 100
101,Category 101,Description 101
102,Category 102,Description 102
103,Category 103,Description 103
104,Category 104,Description 104
105,Category 105,Description 105
106,Category 106,Description 106
107,Category 107,Description 107
108,Category 108,Description 108
109,Category 109,Description 109
110,Category 110,Description 110
111,Category 111,Description 111
112,Category 112,Description 112
113,Category 113,Description 113
114,Category 114,Description 114
115,Category 115,Description 115
116,Category 116,Description 116
117,Category 117,Description 117
118,Category 118,Description 118
119,Category 119,Description 119
120,Category 120,Description 120
121,Category 121,Description 121
122,Category 122,Description 122
123,Category 123,Description 123
